id,true_0,score_0,score_1
0,1.0,0.0032900164,0.99670994
1,1.0,0.00018451325,0.9998155
2,1.0,0.00043129234,0.99956864
3,0.0,0.96331525,0.036684792
4,1.0,9.792201e-05,0.999902
5,1.0,0.0007088309,0.9992912
6,0.0,0.94857657,0.051423468
7,1.0,0.0020082109,0.9979918
8,1.0,0.00046160517,0.9995384
9,0.0,0.738676,0.26132396
10,1.0,0.00089480355,0.99910516
11,1.0,0.022823917,0.9771761
12,0.0,0.30939054,0.69060946
13,1.0,0.0025749477,0.9974251
14,1.0,0.0002053234,0.99979466
15,1.0,0.00039711638,0.99960285
16,1.0,0.00018720869,0.9998128
17,1.0,0.01524235,0.98475766
18,0.0,0.01747124,0.9825287
19,0.0,0.99252796,0.007472029
20,1.0,0.0124814855,0.9875185
21,1.0,0.0005582931,0.9994417
22,1.0,0.0016431746,0.99835676
23,1.0,0.15294953,0.8470505
24,1.0,0.013340366,0.98665965
25,0.0,0.9943171,0.0056828586
26,1.0,0.007901425,0.99209857
27,1.0,0.01497988,0.98502016
28,0.0,0.9615394,0.038460605
29,1.0,0.007891619,0.9921084
30,1.0,0.0015090196,0.9984909
31,1.0,0.002185651,0.9978143
32,1.0,0.00010364299,0.9998963
33,1.0,0.003055499,0.9969445
34,1.0,0.002847454,0.99715257
35,1.0,0.009048617,0.9909514
36,1.0,0.0072889915,0.99271107
37,1.0,0.0016824979,0.9983175
38,0.0,0.9882119,0.011788008
39,1.0,0.00013640238,0.9998636
40,1.0,0.0028672242,0.9971328
41,1.0,0.001240563,0.9987594
42,1.0,0.002197986,0.99780196
43,0.0,0.9880777,0.01192226
44,1.0,0.004835482,0.9951645
45,0.0,0.9970612,0.0029387886
46,1.0,0.0013589864,0.99864095
47,0.0,0.9116528,0.08834721
48,1.0,0.0222433,0.97775674
49,1.0,0.0018480406,0.99815196
50,0.0,0.7692913,0.23070872
51,1.0,0.011654456,0.9883456
52,1.0,0.00023848713,0.9997615
53,1.0,0.005440838,0.9945591
54,1.0,0.0016179889,0.998382
55,0.0,0.96349484,0.03650517
56,1.0,0.0030767063,0.99692327
57,0.0,0.99269825,0.0073018
58,1.0,0.13546261,0.86453736
59,1.0,0.036468606,0.9635314
60,1.0,0.0057022646,0.9942978
61,1.0,0.0029625553,0.9970374
62,1.0,0.024896638,0.97510344
63,1.0,0.0010310803,0.99896896
64,1.0,0.00025058756,0.99974936
65,1.0,0.031546257,0.96845376
66,1.0,0.005182967,0.9948171
67,1.0,0.00013879144,0.99986124
68,1.0,0.0001243869,0.99987555
69,0.0,0.68298006,0.31702
70,0.0,0.8091875,0.1908125
71,1.0,0.010215117,0.9897849
72,1.0,0.0052117533,0.9947883
73,1.0,0.004744223,0.99525577
74,1.0,0.0007989701,0.999201
75,0.0,0.9994869,0.0005130231
76,1.0,0.00044942228,0.9995505
77,1.0,0.04520215,0.9547979
78,0.0,0.93763745,0.062362567
79,1.0,0.002433393,0.9975666
80,1.0,0.00031022486,0.9996898
