id,true_0,score_0,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9,score_10
0,6.0,3.103795e-15,1.9142527e-13,3.1522123e-17,7.6303964e-13,2.0721934e-14,1.1750226e-11,1.0,7.5764156e-14,9.883931e-12,7.646354e-12,2.1018398e-15
1,6.0,1.3573376e-18,1.0611742e-22,1.0863511e-23,4.488536e-21,2.2115829e-23,7.6296014e-23,1.0,2.1285928e-18,4.7289274e-17,2.9034957e-20,5.1320277e-17
2,4.0,6.5786494e-14,1.9564333e-12,3.2556973e-15,3.5975528e-12,0.99976915,0.00021749297,3.037186e-11,1.2931155e-09,2.5528846e-10,9.6984095e-06,3.7486634e-06
3,6.0,6.6589514e-22,5.0516266e-20,7.679617e-24,7.551741e-15,8.945118e-24,3.8796677e-18,1.0,6.6986335e-18,2.0468457e-17,4.26491e-21,3.142931e-17
4,0.0,0.9986444,0.00010129495,0.00087477535,3.5974046e-10,4.590932e-05,0.00033243632,8.41341e-08,1.3281153e-09,6.1915046e-09,6.8606494e-07,3.6417805e-07
5,6.0,8.6459124e-07,4.3197568e-05,2.259382e-09,6.1567475e-06,5.0821272e-05,2.5882065e-07,0.9984773,5.428517e-07,0.0013535903,6.7379726e-05,2.9624339e-09
6,0.0,0.999948,6.424532e-08,5.1809275e-05,1.2285446e-13,9.7020204e-12,3.3709444e-10,2.7004666e-12,9.8645085e-12,3.8722203e-11,2.1475583e-11,1.823206e-12
7,6.0,5.767404e-18,9.33205e-16,1.405187e-17,3.9419841e-16,1.0752642e-08,1.5911724e-12,0.99999964,5.966762e-16,3.5344374e-07,3.2010463e-09,1.3713491e-16
8,7.0,3.419218e-23,2.776421e-25,9.538393e-23,8.219043e-21,4.244501e-17,2.1268224e-19,2.4087572e-25,1.0,1.8455145e-16,2.1472799e-23,1.0601302e-22
9,10.0,2.7837526e-15,1.0282033e-15,1.6968762e-16,1.2757682e-13,2.1424003e-11,4.8796943e-12,8.570369e-09,2.002193e-10,1.432999e-12,4.6987435e-14,1.0
10,10.0,6.058639e-11,1.395079e-14,1.6323794e-17,1.0734053e-13,8.253905e-09,4.5978484e-16,7.8697666e-11,1.37451e-09,1.4185898e-14,2.1531156e-12,1.0
11,9.0,5.949273e-08,1.4579232e-05,3.4607744e-08,1.984264e-07,2.8020754e-08,1.2541803e-05,0.000277183,1.083579e-09,1.4339601e-09,0.99969435,1.1355958e-06
12,10.0,1.1961266e-09,1.298329e-16,1.534881e-14,2.1862443e-08,3.1918402e-11,3.8404823e-13,3.076534e-06,3.9183495e-10,2.2849788e-13,3.827459e-09,0.9999969
13,1.0,6.4213225e-11,0.99999917,3.8132567e-10,4.718113e-13,3.775449e-18,8.800133e-07,2.4064098e-13,1.8484046e-13,2.8326714e-16,7.0881924e-15,6.466716e-14
14,4.0,1.0308279e-05,0.00024521514,1.6415656e-09,2.3271531e-07,0.99972147,1.5274453e-07,4.3664378e-11,1.4602296e-05,6.317772e-11,8.1214885e-10,8.099755e-06
15,10.0,8.1470113e-25,6.730235e-27,7.678756e-27,8.198903e-22,1.3134212e-17,5.9279416e-25,7.61918e-14,2.3417863e-15,1.0556087e-18,1.2820269e-25,1.0
16,6.0,1.4046256e-08,2.983099e-10,2.6141244e-12,9.355247e-14,1.2727974e-06,4.697191e-07,0.99999785,8.232481e-11,3.9338752e-07,3.354235e-08,2.9550723e-10
17,4.0,1.4127164e-12,3.8273787e-16,5.019017e-11,5.66664e-12,0.99999857,1.3993347e-06,7.298884e-10,2.0146111e-12,1.5655826e-11,3.7082938e-08,5.1930932e-08
18,4.0,1.5705164e-15,8.609755e-17,1.3564583e-17,6.4529083e-18,1.0,5.6333195e-11,8.991568e-11,2.8606552e-14,3.783525e-11,2.9008795e-11,4.7570203e-12
19,2.0,6.6824573e-09,1.4252955e-12,1.0,4.409404e-12,7.927112e-09,8.1788043e-10,4.0086903e-10,9.636029e-14,1.037445e-10,1.892211e-09,1.2638626e-08
20,2.0,2.3025102e-08,0.0005980856,0.9994018,7.563756e-14,2.7046507e-15,1.6017928e-07,7.390477e-13,2.907316e-16,2.1086725e-10,5.609918e-10,4.486182e-11
21,9.0,2.5024308e-12,6.1906704e-12,4.7833046e-16,3.913402e-14,2.307154e-13,1.7805994e-15,7.064862e-11,6.734819e-16,5.588728e-17,1.0,9.983678e-14
22,7.0,2.2504118e-19,4.6821783e-20,2.6068018e-19,3.5681524e-17,1.0737154e-15,5.751217e-17,2.3312006e-20,1.0,1.4016463e-13,7.1351404e-20,1.2001789e-18
23,0.0,0.9999726,4.841196e-10,2.8725193e-09,5.131318e-10,2.114859e-08,3.6167814e-06,2.4838493e-09,4.5290285e-10,4.239735e-12,2.3858647e-05,3.6544373e-10
24,0.0,1.0,1.5122419e-15,3.739275e-11,8.921116e-19,5.8007265e-17,1.5863099e-15,1.1408987e-16,9.627413e-14,2.0850509e-14,1.1047073e-12,8.126435e-17
25,9.0,3.0677123e-09,2.6394854e-08,2.15038e-09,9.961303e-10,8.45742e-10,1.9637506e-10,4.321696e-06,1.5018214e-11,1.6321602e-10,0.9999956,3.8783384e-08
26,6.0,3.7498355e-16,3.716352e-18,2.116838e-23,3.2285083e-22,3.482939e-20,2.4397708e-20,1.0,1.1615113e-17,4.844438e-15,5.2341154e-21,1.2913966e-18
27,4.0,3.0437632e-09,1.0055624e-09,5.524243e-14,3.6434186e-11,0.99995923,4.0679595e-05,9.6954375e-11,4.9728815e-11,3.6131487e-11,2.2613216e-08,1.3014696e-07
28,1.0,3.4106789e-09,0.9992551,9.592339e-06,3.0567865e-10,3.1768338e-10,0.00073515606,8.2227314e-10,3.879908e-10,1.457404e-10,2.7226712e-09,1.1593322e-09
29,6.0,3.271137e-17,1.8509545e-19,1.04909225e-20,2.7773672e-15,4.071677e-18,6.04231e-22,1.0,1.0461183e-14,5.5493814e-14,7.6087224e-18,3.5078975e-14
30,10.0,4.7874202e-20,5.714352e-30,1.0483981e-24,3.9365053e-21,2.0447152e-17,8.835852e-23,3.0704796e-15,4.526548e-16,1.6542105e-20,1.0874432e-20,1.0
31,10.0,1.1968564e-16,2.1118566e-20,3.0941524e-20,6.83063e-12,2.0941407e-15,2.1561544e-14,5.9676444e-11,1.2106241e-10,9.779087e-16,3.4589279e-16,1.0
32,6.0,1.0810769e-10,2.6050575e-11,9.87811e-15,1.2398071e-12,6.196506e-08,2.8757663e-09,0.9999999,3.203128e-10,6.4845844e-09,1.1820522e-10,6.25144e-10
33,3.0,6.3743316e-16,3.1105717e-17,6.633858e-20,1.0,2.193064e-18,1.7181545e-14,4.445015e-11,1.01147226e-13,1.9323475e-18,7.4009e-16,2.6238182e-14
34,1.0,9.321484e-09,1.0,5.1850813e-09,6.9918835e-11,5.004971e-15,9.540117e-09,1.6677075e-11,8.1462415e-12,4.8641433e-14,3.20481e-13,6.9003264e-10
35,0.0,0.9999765,9.885058e-08,1.9918592e-05,8.360562e-10,3.198008e-08,1.3803464e-06,3.2642504e-08,4.730563e-11,9.2083435e-10,2.114095e-06,6.069904e-10
36,9.0,6.5702783e-11,1.7004901e-09,2.3962363e-10,1.8707015e-11,3.2736832e-08,7.6067925e-09,7.507538e-07,2.2742802e-12,1.1498182e-11,0.99999917,9.186378e-10
37,5.0,3.3325292e-15,8.5988575e-17,1.7210825e-15,9.540137e-16,1.4236879e-11,1.0,7.464466e-13,1.5117295e-14,2.8113618e-14,2.109297e-12,7.215567e-10
38,2.0,1.7453325e-05,1.9371064e-06,0.99997985,1.8359754e-10,1.3788741e-07,1.5208504e-07,3.042758e-09,4.5598036e-11,1.2491844e-08,1.5643982e-07,2.4039713e-07
39,1.0,0.00070076354,0.999161,2.3281284e-10,2.9797456e-09,9.408441e-12,1.9469213e-09,2.495073e-11,8.063679e-11,1.255795e-13,0.00013828676,2.3088014e-12
40,10.0,6.344534e-18,1.9135212e-22,4.1286317e-22,1.2343279e-13,1.1548556e-13,2.4807103e-18,7.2856815e-10,1.8814056e-11,6.94826e-16,7.6293e-18,1.0
41,10.0,7.6299253e-22,6.1366405e-23,8.721991e-23,1.3537238e-17,2.8641823e-14,2.772471e-19,3.0684528e-12,5.6783083e-13,2.1056758e-15,6.787031e-20,1.0
