id,true_0,score_0,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9,score_10
0,6.0,1.16431495e-17,1.46097e-23,2.6831517e-22,1.5767603e-14,1.4119173e-21,8.091396e-15,1.0,8.367812e-17,3.8682207e-15,6.309552e-21,1.6545635e-13
1,8.0,3.7692614e-12,2.5056248e-13,1.465695e-12,1.3989909e-10,1.0580606e-09,5.807843e-14,4.3194097e-09,1.5332166e-08,1.0,9.56979e-12,2.7930125e-11
2,5.0,6.4106814e-10,3.7923956e-11,3.905536e-09,9.410734e-12,4.3169368e-07,0.9999995,1.8081967e-12,1.6310945e-12,1.8983719e-11,5.3343565e-09,3.2787553e-10
3,2.0,3.030612e-08,0.05959392,0.94036514,1.2790816e-06,2.0161407e-08,3.909064e-05,1.6205336e-08,1.8275986e-07,4.1977822e-07,4.03762e-10,3.3601766e-09
4,1.0,2.8013357e-08,0.9993199,0.0006524912,3.7005805e-07,1.37646605e-08,1.14443e-05,1.1501579e-07,1.0326538e-07,1.8016382e-07,1.5383313e-05,2.2220385e-10
5,8.0,8.596262e-18,7.5894576e-15,1.0380757e-15,2.3614254e-13,1.2678964e-13,3.691432e-16,1.2759238e-13,1.0855173e-10,1.0,1.1999382e-15,7.895159e-15
6,5.0,2.8981978e-07,2.9095988e-11,3.2410207e-07,1.1898585e-12,6.951374e-07,0.9999857,1.7859492e-06,1.2116242e-12,2.8664024e-11,4.1950327e-07,1.0675712e-05
7,8.0,9.695514e-13,3.4115451e-12,4.3514692e-10,1.1710743e-07,1.5064932e-08,1.3722636e-12,1.4411096e-07,1.1581624e-06,0.99999857,1.1610481e-11,1.32858835e-08
8,9.0,6.061247e-08,6.412809e-07,3.6975948e-06,1.0780567e-05,2.1391181e-06,3.7259147e-09,3.4259212e-08,3.1944552e-08,1.849364e-10,0.9999826,2.8299683e-08
9,8.0,1.8818233e-13,8.018812e-12,6.919528e-10,2.6601995e-07,2.1199071e-09,6.97283e-13,2.740623e-13,5.577602e-12,0.99999976,3.217063e-10,4.4539976e-09
10,5.0,1.4353498e-14,1.772685e-13,3.5463947e-12,1.3444022e-12,7.436134e-08,0.9999999,1.8567023e-13,7.404126e-14,9.695458e-12,4.118542e-10,3.768986e-13
11,9.0,3.4802846e-13,2.4538699e-14,1.3715824e-14,3.4517915e-13,1.4120725e-07,1.5456217e-10,2.7300092e-07,4.223867e-11,2.5486408e-13,0.9999989,6.3441576e-07
12,1.0,2.0656698e-05,0.8583557,0.14162321,4.0947665e-08,4.6125884e-08,2.0945207e-07,3.1046452e-09,2.7108667e-08,1.6513834e-08,3.043204e-08,3.823766e-08
13,10.0,8.952049e-16,4.4784117e-13,3.2643667e-14,5.759483e-13,6.435281e-11,1.577965e-20,7.0871415e-08,9.444504e-09,4.2079634e-12,5.630475e-10,0.9999999
14,7.0,9.391387e-15,4.331753e-11,4.2111094e-15,1.279852e-13,1.4347051e-11,2.0039393e-12,3.361316e-12,0.99998975,1.0258718e-05,2.4621914e-15,2.0590477e-11
15,10.0,3.8280993e-14,4.4538306e-17,6.460651e-13,1.1195647e-16,6.010555e-07,4.0118775e-09,2.6266883e-11,1.5515924e-12,2.8556093e-14,5.901517e-07,0.9999988
16,0.0,0.99999106,3.8580823e-12,1.6332443e-08,1.5213198e-13,8.754647e-06,2.2759642e-07,3.4453962e-10,4.139316e-12,4.5261933e-10,9.0746055e-10,2.5787124e-09
17,6.0,5.997185e-15,1.9780993e-15,6.574826e-21,7.873352e-12,1.9379555e-13,5.381952e-13,1.0,2.0043767e-12,6.0605946e-14,6.0446175e-14,6.8847016e-12
18,3.0,3.0063556e-12,6.3829205e-16,1.5398631e-16,1.0,2.4973534e-19,1.3604597e-16,9.549459e-12,3.6537813e-12,5.5920546e-17,1.3252447e-15,6.0499836e-13
19,10.0,2.1382759e-12,3.908104e-15,1.072122e-06,1.2396844e-12,0.00015532618,1.090281e-11,5.1278803e-09,4.553008e-09,1.1129492e-08,4.381424e-10,0.9998436
20,1.0,5.6321813e-05,0.69190395,0.30792156,4.921265e-06,8.669596e-06,5.4344187e-06,3.261533e-06,4.7890684e-05,4.5613142e-05,1.7151832e-06,6.5794325e-07
21,9.0,1.8130831e-06,9.70225e-08,4.1096487e-06,1.320629e-05,0.0002520681,5.1205047e-06,1.1646647e-08,2.1926436e-09,2.9829337e-11,0.9997217,1.8034037e-06
22,4.0,7.2942964e-11,9.438185e-12,1.025727e-15,5.3000244e-14,0.9999958,5.1531943e-09,1.7952065e-07,1.0064818e-09,5.7222584e-11,3.7682835e-06,1.5888563e-07
23,1.0,1.8536664e-05,0.93415433,0.06575153,4.5983157e-07,4.3458534e-05,4.528012e-06,6.328639e-07,2.0337178e-05,5.3374597e-06,6.38038e-07,6.300788e-08
24,8.0,1.0355653e-13,2.1214879e-14,1.2194223e-12,1.5551364e-10,7.406394e-12,2.0232715e-11,1.3423756e-08,4.790571e-09,1.0,4.0330126e-12,5.2063206e-12
25,10.0,3.167e-06,0.0007278295,1.9677978e-05,4.279317e-09,0.0049596634,0.00039233794,2.9974856e-08,1.5005378e-07,1.4698873e-06,1.1236345e-05,0.9938844
26,6.0,3.168902e-15,3.8139196e-15,1.0697032e-18,7.054291e-15,3.5840042e-17,1.8799776e-15,1.0,1.0117198e-12,2.4647927e-14,3.365734e-11,4.600921e-15
27,1.0,3.033853e-06,0.79847777,0.20129707,1.2597651e-06,0.00018646625,1.601598e-05,2.2419596e-07,9.393111e-06,8.105589e-06,3.358571e-07,2.676129e-07
28,0.0,1.0,3.6907666e-18,1.2839562e-16,6.7407233e-18,4.025248e-21,7.9210525e-20,4.644617e-16,8.36722e-21,1.7726324e-19,8.7537493e-17,2.620125e-16
29,5.0,9.2705635e-12,2.3905644e-09,1.540516e-11,4.5103907e-11,2.0868729e-06,0.99999785,3.6025294e-09,6.1609294e-11,4.3945542e-10,1.920997e-09,8.062428e-12
30,4.0,1.7225761e-12,7.1184154e-14,2.3258947e-15,2.4951195e-16,1.0,4.3908145e-08,6.141502e-11,1.4556252e-10,4.9958065e-11,5.9958556e-16,7.947876e-11
31,10.0,1.0660077e-12,1.1516869e-15,1.5964068e-13,1.007513e-14,1.4676053e-05,3.469701e-07,2.3026199e-07,1.3566772e-11,4.8676035e-11,6.7251253e-09,0.99998474
32,4.0,7.568178e-12,1.8499515e-09,2.405639e-11,8.0428904e-13,0.9998839,0.00011605405,2.535977e-14,6.035578e-13,7.739694e-15,1.2149455e-10,6.118126e-09
33,4.0,3.0545094e-11,5.3523025e-10,1.3105003e-10,9.491119e-11,0.99999976,2.2209129e-07,3.5827326e-09,2.8681726e-10,8.6131205e-13,7.2216957e-09,1.1685136e-08
34,6.0,2.8910785e-13,7.133083e-14,1.0522396e-15,4.0051096e-09,1.1051113e-10,7.3694675e-11,0.99999845,5.7362772e-09,1.4668129e-10,2.6864836e-13,1.5215772e-06
35,0.0,1.0,2.92564e-22,1.9476964e-18,4.240333e-21,3.899336e-21,1.3495653e-21,1.0680477e-18,1.4240539e-23,1.380105e-21,1.7799913e-19,2.7154912e-17
36,3.0,6.176347e-14,3.2666623e-12,3.263637e-15,1.0,6.8645275e-18,6.61461e-14,2.6671744e-12,5.0724563e-11,1.962879e-14,5.7037095e-20,4.074275e-09
37,8.0,6.797675e-14,6.4878653e-16,6.111298e-14,5.100718e-11,5.158417e-13,1.3164644e-12,3.7031884e-12,2.5153381e-11,1.0,6.800175e-11,1.5404e-13
38,9.0,1.9577077e-17,1.489181e-13,2.7894768e-18,1.4859187e-12,4.2498917e-07,6.356497e-11,5.0892e-11,1.1585218e-13,3.758295e-17,0.9999995,6.664391e-13
39,6.0,9.1354714e-17,3.9903787e-19,4.2032856e-24,5.449468e-16,1.1916168e-17,2.9962697e-19,1.0,3.0950266e-12,1.1481219e-13,6.182053e-17,1.5776071e-16
40,6.0,1.11080016e-13,4.4389924e-18,6.246368e-16,6.41481e-09,1.4466708e-18,1.8161924e-12,1.0,1.0280421e-12,2.9146603e-12,1.1906366e-11,5.6527272e-14
41,3.0,1.015375e-09,1.0292974e-09,1.8764596e-15,1.0,6.9815775e-16,1.259349e-22,1.6081301e-09,1.5569549e-11,4.4254735e-11,6.5267485e-13,1.5535266e-10
42,2.0,8.743407e-05,0.02027788,0.9795114,5.034917e-07,4.558618e-05,7.482464e-05,1.9003263e-08,2.795824e-07,7.376082e-07,5.4913357e-08,1.3319116e-06
43,3.0,7.4815064e-11,3.5807741e-12,1.42698e-15,1.0,7.994985e-17,1.005145e-13,3.843886e-10,1.7815882e-11,1.8499862e-13,4.4459064e-18,5.5112026e-12
44,8.0,1.2153199e-15,8.326002e-14,6.2486057e-13,1.833323e-12,3.2934108e-10,6.447373e-14,4.4706755e-15,2.1503833e-11,1.0,4.013935e-12,4.4253506e-13
45,10.0,3.2518977e-14,4.7134303e-11,2.0830494e-10,1.6825243e-11,1.0920655e-11,6.1505324e-15,1.0234747e-06,2.4386375e-09,9.219367e-12,3.7768948e-11,0.9999989
46,8.0,1.3280926e-17,5.995601e-17,5.4481017e-14,5.662545e-11,2.0241205e-15,6.974118e-18,3.802178e-17,1.3784716e-13,1.0,8.0374514e-19,1.137232e-15
47,9.0,4.7457684e-17,3.489631e-14,4.314133e-19,1.1497894e-16,2.9127992e-07,9.262145e-13,3.3080536e-10,3.196505e-14,1.0184045e-16,0.99999964,4.504104e-08
48,7.0,1.989196e-10,3.3067222e-09,3.1458186e-10,9.112107e-10,4.0630468e-05,5.3553445e-13,3.2431896e-10,0.99994195,1.1721466e-05,7.0138895e-11,5.6958474e-06
49,7.0,3.3834806e-11,4.701166e-10,1.3417848e-12,6.808111e-10,6.852046e-08,4.9393845e-15,5.9634625e-10,0.9999546,4.5315206e-05,3.0254198e-12,1.5880468e-09
50,5.0,6.73858e-19,5.094439e-16,9.926182e-16,9.818738e-16,2.7174004e-13,0.99999905,1.6633797e-18,8.853212e-17,1.5019367e-17,9.1492853e-07,1.2500425e-12
51,6.0,3.4614814e-20,4.436078e-19,4.8197808e-20,3.0103187e-17,1.7520236e-16,5.643406e-15,1.0,1.0075015e-14,4.9128496e-11,2.1924523e-19,2.0115912e-13
52,9.0,1.0047124e-12,1.6617165e-14,7.3796134e-13,1.0902809e-11,1.0706502e-11,4.78064e-09,1.5013392e-10,5.1237514e-14,1.2660778e-15,1.0,6.2539865e-12
53,6.0,1.478862e-15,9.062398e-18,9.274303e-17,1.6770518e-12,1.3113012e-12,3.3613146e-13,0.99998033,3.749939e-13,5.861284e-12,7.466478e-18,1.9647616e-05
54,0.0,0.9999999,1.5674169e-14,7.0092576e-10,1.4255258e-13,2.561734e-09,5.642513e-11,1.0631142e-12,4.7514627e-15,1.3061248e-12,9.762074e-08,2.830696e-09
55,6.0,1.3474035e-23,8.233401e-24,1.5230052e-21,8.050063e-19,1.0816418e-22,3.7313334e-21,1.0,2.4596e-13,1.5404155e-12,3.070378e-20,4.8140207e-16
56,0.0,0.99999905,4.3229496e-09,5.583764e-07,5.9795532e-12,1.0524437e-10,3.134742e-07,3.425262e-10,1.3703104e-12,4.952007e-12,2.134163e-08,3.3099765e-10
57,6.0,9.266591e-11,1.1911254e-10,1.8266846e-11,2.7956477e-07,1.1240963e-11,1.9122126e-09,0.99999976,6.2029204e-10,4.537916e-08,1.2928081e-11,2.475405e-08
58,6.0,3.9115307e-17,1.7212681e-13,6.189419e-12,7.510605e-10,2.8285245e-18,2.2137856e-12,1.0,4.739204e-09,6.0857663e-10,1.7658762e-12,2.5380273e-11
59,9.0,2.1229767e-13,9.399585e-13,4.407313e-09,7.946753e-06,9.812682e-07,7.570023e-07,3.3099627e-07,4.83641e-08,1.9220451e-08,0.9999362,5.378019e-05
60,3.0,1.1932998e-09,9.4345495e-08,9.078709e-06,0.9999901,3.5636236e-12,5.000363e-14,1.7136337e-07,1.6334983e-08,2.1165881e-07,1.7882254e-08,2.7651885e-07
61,4.0,2.8937414e-10,2.7301736e-09,1.3995441e-07,2.7977993e-08,0.99999046,5.3171465e-07,3.5260328e-12,3.9987247e-10,3.93931e-12,4.2772886e-06,4.542654e-06
62,9.0,1.3721679e-13,9.8560807e-17,4.8386733e-12,4.862571e-12,5.2911734e-08,5.804395e-11,9.261613e-10,1.01131777e-13,1.6177767e-14,0.9999999,2.638953e-08
63,4.0,5.346242e-17,7.1658174e-14,2.0947203e-14,1.7568155e-15,0.9999995,1.8383008e-07,2.0877012e-13,2.2904478e-13,5.327779e-16,1.8115827e-07,9.692367e-08
64,10.0,6.3522904e-14,9.672822e-16,4.3728e-12,6.0113814e-15,2.2257201e-11,2.857858e-12,6.7361343e-09,2.3504972e-11,3.8409456e-13,4.6362593e-06,0.99999535
65,9.0,9.7207586e-18,2.7416175e-16,4.0916777e-14,1.432925e-12,6.053761e-08,1.4924309e-14,1.12049654e-10,1.7122624e-14,1.6985979e-17,0.9999999,5.501278e-08
66,6.0,1.7136883e-20,2.6826796e-23,5.782129e-23,1.262354e-16,2.1694714e-21,6.6150126e-18,1.0,1.06510094e-20,5.230813e-17,1.3085926e-21,8.0370774e-13
67,6.0,4.8616388e-14,7.148078e-21,2.1295094e-19,2.1251063e-16,9.811783e-16,1.6582014e-15,1.0,1.0180558e-15,1.0391352e-12,5.019251e-16,3.2737515e-10
