id,true_0,score_0,score_1,score_2,score_3,score_4,score_5,score_6
0,0.0,0.01473444,0.029017122,0.09479232,0.022969294,0.109985955,0.7260517,0.002449241
1,2.0,0.054799546,0.11417279,0.54895514,0.033383794,0.036779996,0.21148002,0.00042870152
2,5.0,0.00036410356,0.0019061122,0.01236949,0.0005543964,0.0018499673,0.9575326,0.02542334
3,5.0,0.0006427892,0.0045116213,0.03756915,0.0006785252,0.094269626,0.81428355,0.048044756
4,5.0,0.0034088788,0.010887402,0.032335017,0.0014726545,0.09488264,0.85170466,0.005308743
5,5.0,0.00059214793,0.0030773764,0.020930279,0.0059570936,0.0056395894,0.9548568,0.008946836
6,5.0,0.047837973,0.10503988,0.072660424,0.025328826,0.038536884,0.70288235,0.0077136243
7,5.0,0.0025091786,0.010109165,0.027966036,0.003572052,0.023491744,0.913051,0.019300852
8,5.0,0.0009265728,0.0024251027,0.042453263,0.013389837,0.045125265,0.8919232,0.0037568773
9,5.0,0.021121804,0.049656,0.1263479,0.0031104488,0.25975132,0.53933436,0.0006781765
10,5.0,0.00022427522,0.00070626603,0.0054532494,0.0010208801,0.003293716,0.97692627,0.012375336
11,5.0,4.5422556e-05,0.0001543178,0.005465428,0.0012499593,0.00030956283,0.9916442,0.0011311556
12,5.0,0.0007766363,0.0038350653,0.030934336,0.002900682,0.0031205586,0.9567401,0.0016926628
13,5.0,0.015722701,0.1168869,0.20350035,0.018524315,0.11000718,0.5206459,0.014712658
14,1.0,0.02420593,0.08864443,0.13907428,0.023809623,0.23147886,0.47890636,0.013880602
15,5.0,0.00015342773,0.0011544497,0.011019361,0.0006331602,0.0034790833,0.9563959,0.027164573
16,5.0,0.0029083332,0.0054559913,0.1350117,0.023850672,0.21514256,0.60875416,0.008876604
17,5.0,1.7555203e-05,0.00011847575,0.008228104,7.440444e-05,0.001179183,0.98926044,0.0011218076
18,5.0,0.00018228532,0.000658387,0.028843332,0.00029720433,0.06355543,0.8977856,0.008677773
19,5.0,0.00514692,0.021225343,0.03176313,0.0042014825,0.019518793,0.8735965,0.04454785
20,5.0,0.0007951176,0.0024253796,0.024863333,0.00043515363,0.09075052,0.8578136,0.02291695
21,0.0,0.050724085,0.11460347,0.08191873,0.026926666,0.038503934,0.6791207,0.008202457
22,4.0,0.00014056724,0.00036906108,0.09073942,0.0009504921,0.13585779,0.74086595,0.031076698
23,5.0,0.013198438,0.071473815,0.10154098,0.011039835,0.06958146,0.71609676,0.017068839
24,5.0,0.00014165847,0.00054323545,0.03841109,0.0025767803,0.009153707,0.9477372,0.0014363029
25,5.0,0.004626043,0.014717493,0.068040706,0.0048061516,0.04617153,0.85172355,0.009914536
26,2.0,0.051532533,0.022712315,0.243588,0.04809202,0.30547985,0.32687426,0.0017210636
27,1.0,0.006497464,0.026207207,0.03355807,0.006240368,0.03888722,0.8620804,0.026529213
28,1.0,0.084923804,0.11428985,0.47148386,0.011320915,0.22668968,0.09068552,0.0006064232
29,5.0,0.0019893013,0.0099917995,0.0855121,0.0012361704,0.19764227,0.7014224,0.0022059365
30,5.0,0.008003916,0.031266905,0.043261804,0.014569382,0.04345961,0.8449355,0.014502986
31,5.0,0.001239547,0.006051036,0.027482344,0.0004969345,0.060697135,0.8684672,0.03556577
32,5.0,0.005383504,0.0274558,0.113986894,0.00989094,0.047923043,0.78502697,0.010332868
