id,true_0,score_0,score_1,score_2,score_3,score_4
0,3.0,0.17135705,0.12085368,0.2544089,0.31311554,0.14026484
1,0.0,0.41987538,0.21209435,0.19942415,0.13870682,0.029899279
2,0.0,0.59915173,0.1614563,0.14774264,0.07473705,0.016912319
3,2.0,0.6593132,0.121047705,0.13282004,0.06953858,0.017280526
4,2.0,0.47168922,0.10385225,0.20472336,0.17366011,0.046075076
5,0.0,0.2313415,0.07482925,0.2450328,0.35444215,0.094354235
6,1.0,0.32592174,0.13448744,0.23759346,0.21755806,0.0844393
7,1.0,0.51595634,0.18389036,0.17009631,0.11255909,0.017497925
8,0.0,0.5713472,0.14626272,0.1571823,0.104380324,0.020827431
9,3.0,0.39465755,0.22914185,0.18849325,0.16257259,0.025134768
10,0.0,0.37085545,0.20481473,0.20474052,0.18950021,0.030089121
11,0.0,0.38110372,0.13774325,0.21768743,0.19575629,0.06770933
12,2.0,0.14797969,0.10383759,0.2677113,0.32745367,0.15301774
13,3.0,0.24481678,0.09971159,0.2556461,0.2877611,0.112064436
14,4.0,0.15220664,0.11644156,0.23685986,0.40451774,0.089974225
15,0.0,0.6425849,0.08831523,0.14760879,0.095779225,0.025711842
16,0.0,0.72779477,0.08427194,0.10369368,0.07349422,0.010745384
17,1.0,0.22606143,0.12641709,0.23527229,0.3314842,0.080765
18,3.0,0.30484214,0.19940062,0.24689773,0.21778484,0.031074632
19,2.0,0.31064996,0.13947998,0.23229724,0.23709555,0.08047718
20,2.0,0.6244239,0.11213607,0.14426921,0.09521669,0.023954151
21,0.0,0.64466643,0.09733331,0.1280611,0.1072316,0.022707552
22,0.0,0.6835869,0.11540503,0.11918973,0.0669751,0.014843219
23,3.0,0.13525985,0.11219334,0.27362525,0.32771292,0.15120865
24,0.0,0.17171402,0.11512408,0.25730526,0.32067528,0.13518132
25,2.0,0.1501989,0.11539047,0.27120373,0.3247061,0.13850078
26,0.0,0.33383906,0.23075001,0.21314064,0.18147902,0.040791277
27,0.0,0.17621043,0.09531911,0.24347864,0.3583686,0.12662323
28,0.0,0.70527774,0.050936025,0.12568371,0.111912444,0.006190035
29,0.0,0.61920756,0.0819307,0.15852758,0.12429979,0.016034383
30,0.0,0.5893311,0.14088075,0.14606309,0.10588345,0.01784167
31,2.0,0.19988291,0.11282111,0.24134299,0.31281763,0.13313536
32,1.0,0.19195022,0.13551159,0.2521352,0.2967591,0.12364394
33,0.0,0.48682997,0.17373349,0.18739016,0.11880048,0.033245888
34,0.0,0.13539962,0.11030126,0.26434606,0.34988952,0.1400636
35,0.0,0.28971282,0.095453724,0.26248866,0.29370463,0.058640108
36,2.0,0.18957795,0.16411503,0.25809336,0.30747262,0.08074099
37,0.0,0.4650087,0.10541588,0.19659072,0.17171675,0.061267924
38,4.0,0.16753277,0.11781414,0.26685482,0.31572264,0.13207561
39,0.0,0.99484295,1.3348706e-05,0.0015321424,0.0036111022,4.9705307e-07
40,2.0,0.21734186,0.11618512,0.2525047,0.28335685,0.1306115
41,0.0,0.5814146,0.14867193,0.15524644,0.0967145,0.017952468
42,0.0,0.7594307,0.07518239,0.1017946,0.050731402,0.0128608905
43,4.0,0.14424007,0.12889603,0.26612055,0.33348376,0.12725961
44,0.0,0.7869053,0.06463625,0.08874506,0.049801383,0.009911955
45,4.0,0.17249854,0.11376459,0.26120496,0.31572816,0.1368038
46,3.0,0.25549117,0.119573,0.24302448,0.26589334,0.1160181
47,3.0,0.20897236,0.14474247,0.25562665,0.28173083,0.108927704
48,0.0,0.5633153,0.10599946,0.17198533,0.12757103,0.031128911
49,1.0,0.4774123,0.24095125,0.10768013,0.16426423,0.009692113
50,0.0,0.8588909,0.045374315,0.06282522,0.028042251,0.004867305
51,1.0,0.24435796,0.11178859,0.24396068,0.27837536,0.12151746
52,2.0,0.16338556,0.11561295,0.26525396,0.3104793,0.14526823
53,1.0,0.7242222,0.056454085,0.119152546,0.09122465,0.008946536
54,0.0,0.9794956,0.00023052911,0.0069214026,0.013333708,1.8787685e-05
55,3.0,0.16275108,0.12585056,0.25275528,0.33419743,0.124445625
56,4.0,0.15175648,0.11393229,0.2708212,0.310186,0.15330398
57,0.0,0.38746765,0.13006121,0.20161809,0.21197934,0.06887374
58,2.0,0.58777094,0.09815008,0.14979105,0.14237858,0.021909337
59,0.0,0.43478042,0.21410353,0.19893752,0.124218665,0.027959866
60,3.0,0.16573377,0.12218238,0.2714223,0.31794617,0.12271542
61,2.0,0.6662594,0.09313195,0.13914552,0.08878222,0.012680947
62,3.0,0.4636194,0.07425505,0.20374592,0.18536137,0.07301827
63,0.0,0.87734026,0.04743648,0.03126508,0.04177668,0.0021815575
64,1.0,0.339784,0.19218107,0.23481923,0.18679237,0.046423297
65,1.0,0.4267133,0.16802236,0.20569053,0.17000869,0.029565077
66,0.0,0.65304637,0.11387736,0.13487792,0.084178954,0.014019361
67,1.0,0.15212537,0.109623104,0.2639196,0.31568313,0.1586488
68,0.0,0.6217345,0.114650786,0.14223072,0.10946665,0.011917365
69,0.0,0.5596439,0.1628177,0.15794481,0.09908951,0.020504138
70,2.0,0.5812987,0.12384316,0.15625004,0.115077786,0.023530297
71,2.0,0.27357432,0.1646137,0.24850383,0.2528976,0.060410563
72,0.0,0.53043735,0.18560752,0.15509559,0.1078032,0.021056373
73,2.0,0.16684316,0.13476044,0.25551578,0.3073989,0.1354817
74,0.0,0.78689384,0.07558459,0.068444856,0.061293375,0.007783298
75,0.0,0.25496045,0.110077225,0.24220254,0.27233487,0.12042485
76,3.0,0.27354956,0.25118002,0.23486416,0.2033412,0.037065025
77,0.0,0.15447915,0.11711497,0.25844008,0.32546526,0.14450052
78,0.0,0.5673387,0.16654204,0.15719862,0.09083299,0.018087624
79,2.0,0.34017834,0.22405477,0.21548697,0.18908769,0.031192264
80,0.0,0.26331657,0.34840503,0.15408643,0.2074328,0.026759105
81,2.0,0.15865648,0.14265627,0.27407974,0.29796007,0.12664746
82,2.0,0.17828622,0.120725974,0.2637115,0.31032223,0.12695406
83,4.0,0.16844879,0.12361018,0.26291168,0.3130773,0.1319521
84,0.0,0.47325656,0.09080519,0.17392454,0.20541795,0.056595795
85,1.0,0.60950524,0.17036143,0.14095034,0.06690775,0.012275282
86,0.0,0.80307454,0.050261267,0.07903027,0.060033772,0.007600144
87,1.0,0.28520092,0.08346138,0.19555353,0.36368194,0.072102204
88,2.0,0.15525329,0.12207742,0.27287605,0.3133376,0.13645567
89,0.0,0.92493856,0.01811896,0.030998753,0.023719376,0.0022244498
90,2.0,0.13949026,0.11045602,0.27184948,0.33303928,0.14516494
91,3.0,0.19687758,0.11797964,0.24829581,0.30230808,0.13453884
92,1.0,0.4420887,0.16091716,0.20276335,0.14873813,0.045492608
93,3.0,0.18857916,0.12894943,0.25677162,0.30125624,0.124443516
94,1.0,0.13783993,0.107929535,0.26882938,0.34571257,0.13968861
95,0.0,0.18338308,0.13394251,0.2603013,0.30414987,0.11822327
96,0.0,0.8157309,0.054825936,0.04578993,0.08015649,0.00349678
97,0.0,0.62019217,0.0921754,0.11631597,0.16457707,0.0067394124
98,4.0,0.20025566,0.1425743,0.2492515,0.29240775,0.115510784
99,2.0,0.22948392,0.1683912,0.25196657,0.2559543,0.09420404
100,2.0,0.6954161,0.06774948,0.13235614,0.09156226,0.0129160285
101,4.0,0.1276855,0.124344915,0.28543615,0.318421,0.14411242
102,2.0,0.37819484,0.19198337,0.22249418,0.16365823,0.043669384
103,0.0,0.7918511,0.059971415,0.07570296,0.06447836,0.0079961885
104,0.0,0.60773015,0.15202136,0.14171381,0.08117226,0.017362462
105,2.0,0.4903451,0.12366227,0.19350389,0.14390546,0.0485833
106,0.0,0.810576,0.061334018,0.0788156,0.04221944,0.0070549194
107,3.0,0.16131708,0.12584466,0.2611461,0.3090756,0.14261658
108,0.0,0.59149534,0.109610274,0.15108855,0.12046251,0.027343357
109,0.0,0.8521047,0.05125035,0.0634153,0.02848968,0.0047398284
110,0.0,0.16421285,0.12855944,0.26118279,0.31114247,0.13490248
111,0.0,0.826599,0.052895006,0.07556149,0.03776737,0.007177084
112,0.0,0.8112859,0.07052396,0.07399414,0.03840109,0.0057949196
113,0.0,0.16389805,0.13431561,0.27032804,0.30486616,0.12659219
114,0.0,0.8198765,0.049427,0.062183905,0.06454088,0.0039717136
115,0.0,0.27903187,0.14391255,0.2515763,0.23695396,0.08852527
116,0.0,0.77180064,0.06735498,0.08663456,0.066025116,0.00818465
117,3.0,0.30814245,0.19749059,0.22643307,0.23319162,0.034742225
118,0.0,0.14549921,0.12829322,0.27435437,0.3077221,0.14413108
119,2.0,0.4176447,0.16833696,0.21000211,0.15726988,0.046746384
120,3.0,0.48876333,0.14016005,0.18397541,0.15856141,0.028539725
121,2.0,0.20319849,0.14751004,0.2747539,0.26498336,0.10955418
